"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ATP6V0E2",5.43344516571315e-96,0.432963379992658,0.187,0.085,3.02018049536166e-91
"PEX11B",5.99000149321437e-96,0.307299188727652,0.167,0.071,3.32954233000321e-91
"CHMP1B",7.43146411848594e-96,-0.148839744749662,0.225,0.409,4.13077933026041e-91
"CLCF1",7.98928012626441e-96,-0.191925990934298,0.016,0.106,4.44084135818407e-91
"SSR1",8.2518243391178e-96,-0.219479632016437,0.292,0.477,4.58677655889863e-91
"TMEM30B",1.06095271424018e-95,-0.22974259164385,0.062,0.182,5.89730566210406e-91
"IGKC",1.63409966467179e-95,0.829175476500183,0.229,0.105,9.08314298607813e-91
"PIK3R3",1.71559474304585e-95,0.436153947374839,0.188,0.088,9.53613337922036e-91
"DHX36",1.88145543714743e-95,-0.163291615268495,0.198,0.374,1.0458070047384e-90
"FXYD3",1.97643812300456e-95,-0.353849815155282,0.51,0.728,1.09860313067209e-90
"UBC",2.48930593815726e-95,-0.590318848553608,0.799,0.907,1.38368070572472e-90
"DAZAP1",2.89116988119107e-95,-0.161526026797795,0.175,0.339,1.60705677846005e-90
"HIPK2",3.09911080414451e-95,-0.233108247248093,0.115,0.255,1.72264074048372e-90
"TMEM30A",4.72771572632346e-95,-0.171788366471183,0.173,0.337,2.6279007864769e-90
"NEDD4",5.37137824498181e-95,-0.194975631516225,0.106,0.244,2.98568059747314e-90
"RBM3",9.49586650751639e-95,0.616262761338671,0.63,0.58,5.27827739820299e-90
"NR1D1",1.1954119081919e-94,-0.261141730491772,0.039,0.142,6.6446970916847e-90
"RAB43.3",1.22067345170388e-94,-0.0534747602924246,0.162,0.344,6.78511338129604e-90
"RPL37",1.2275056131645e-94,0.353777800543383,0.979,0.997,6.82308995077488e-90
"POLR1D",1.70963846425125e-94,-0.209546473076372,0.449,0.664,9.50302540354055e-90
"NLRP6.1",3.44225247884091e-94,-0.228729121234402,0.04,0.144,1.91337604036372e-89
"TRAPPC2B",3.96342436059945e-94,-0.166337654916554,0.09,0.222,2.20306943083921e-89
"HLA-DMA",4.1077008150944e-94,0.823916335414654,0.182,0.086,2.28326549807022e-89
"GOLT1B.1",4.5369350036276e-94,-0.187065344261428,0.137,0.285,2.5218553217664e-89
"RALY",5.22602421749247e-94,0.698230559623683,0.474,0.405,2.90488556129319e-89
"CSTB.1",6.17335972760482e-94,0.510872052721023,0.837,0.842,3.43146200458914e-89
"ASXL1",6.19820483501104e-94,-0.169359413567549,0.071,0.193,3.44527215754089e-89
"PPM1A",6.53124469013964e-94,-0.203140290908829,0.109,0.248,3.63039236101412e-89
"ENSA",6.68618774647276e-94,0.64444829288879,0.568,0.539,3.71651745887689e-89
"ATP6V1B2",7.32489661941748e-94,-0.277001130391423,0.109,0.246,4.07154378590321e-89
"SGMS2",1.09559246551316e-93,-0.167973195458482,0.016,0.103,6.08985071955492e-89
"UBA6",1.36240046400021e-93,-0.193010303724984,0.081,0.207,7.57290297914515e-89
"PSMC1",1.59219846351933e-93,-0.236880386628478,0.301,0.485,8.85023515947219e-89
"LSM2",1.68888073802651e-93,0.660179782233206,0.51,0.443,9.38764358232036e-89
"UBE2K",2.07057455377059e-93,-0.177044480658573,0.241,0.421,1.15092886571338e-88
"AMFR",2.08061501770154e-93,-0.312830348582163,0.071,0.189,1.1565098575894e-88
"UQCR11",2.77277524095133e-93,-0.316426480833228,0.628,0.851,1.54124711768279e-88
"SMIM7",3.15023911330568e-93,-0.155724282770333,0.192,0.363,1.75106041113096e-88
"COPE",3.41711559322219e-93,-0.258590002170551,0.504,0.705,1.89940370249256e-88
"AQP3",4.83362043437504e-93,0.703529552514266,0.191,0.09,2.68676791844736e-88
"NAA25",4.90850259422598e-93,-0.176469480230947,0.065,0.184,2.72839116700051e-88
"COX16",6.38702514876995e-93,0.503733839402284,0.256,0.147,3.55022792894378e-88
"DNAJB2",7.86069435561236e-93,-0.212061568172909,0.161,0.315,4.36936695756713e-88
"HLA-DRB1",1.45786647538263e-92,1.60508302900115,0.261,0.157,8.10355080341433e-88
"SURF4",1.80499688546167e-92,-0.212112023811484,0.212,0.378,1.00330751878387e-87
"PXDC1",2.06334087630703e-92,-0.171205653160852,0.032,0.13,1.14690802609526e-87
"S100A10",2.11857497012479e-92,-0.541057464291841,0.604,0.804,1.17760989714386e-87
"RUSC1",3.22667772637744e-92,0.438677616841756,0.225,0.12,1.7935488142069e-87
"NDUFV1",3.69685703558602e-92,0.651566026027885,0.44,0.351,2.05489798323049e-87
"COA8",4.41295476926814e-92,-0.152715355463713,0.18,0.345,2.45294090849769e-87
"TSFM",4.94312201467663e-92,-0.170317711845452,0.083,0.209,2.74763437185801e-87
"LIPH",6.40746989934683e-92,-0.306260349171361,0.031,0.127,3.56159214355193e-87
"ALG2",6.76318650809755e-92,-0.177414124061143,0.091,0.22,3.75931722052603e-87
"RBM47",8.1829919160734e-92,-0.296450530500961,0.181,0.336,4.5485160565494e-87
"PITPNB",8.52743353041618e-92,-0.181663197511634,0.123,0.264,4.73997392788183e-87
"CFLAR",9.40370029176521e-92,-0.164570613248053,0.168,0.327,5.22704680717769e-87
"C5orf38",1.00417241587152e-91,-0.170904216905769,0.062,0.18,5.58169237362182e-87
"AKIRIN2",1.16642641243505e-91,-0.225717768226956,0.172,0.328,6.48358121352025e-87
"EMC7",1.29717357933769e-91,-0.162628162300016,0.25,0.433,7.21033934074856e-87
