"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DLST",2.90416753691866e-113,-0.19643273244698,0.08,0.266,7.6731010492928e-109
"GAN",3.84270545641854e-113,0.378949152428382,0.313,0.136,1.01528120864034e-108
"IRF1",4.19823623798747e-113,-0.592572836065275,0.196,0.427,1.10921599643867e-108
"SRPRA",4.35725653881268e-113,-0.3413541147325,0.178,0.408,1.1512307501197e-108
"MREG",4.57226438580103e-113,-0.210221538640455,0.045,0.214,1.20803797337249e-108
"TAF1D",5.01321143794686e-113,-0.663436498810565,0.463,0.643,1.32454059401994e-108
"HSPA9",5.12614956672245e-113,-0.422590056875501,0.346,0.577,1.35437997702374e-108
"CSRP2",5.34078215908366e-113,0.295756526165937,0.077,0.102,1.41108805425149e-108
"THRA",6.01019282026662e-113,0.300591193492429,0.232,0.07,1.58795304504264e-108
"SNAPC1",6.44080795565203e-113,-0.672978600861,0.085,0.267,1.70172586996282e-108
"SLC38A2",8.08049685668856e-113,-0.673400925477175,0.299,0.503,2.13494807450568e-108
"DYNC1LI1",8.9457901762024e-113,-0.290873606177527,0.138,0.357,2.36356722245444e-108
"KRR1",8.96471031893155e-113,-0.346939198542709,0.181,0.408,2.36856611336491e-108
"ST3GAL2",8.98112325790743e-113,0.146233640537789,0.143,0.026,2.37290257597172e-108
"PRKCSH.1",9.51556044128993e-113,0.455570962919572,0.465,0.312,2.51410622419321e-108
"MRPL47",9.65677395708585e-113,-0.427532417553445,0.324,0.532,2.55141624720165e-108
"LARP1B",1.25059773624931e-112,-0.368632237841703,0.114,0.315,3.30420427894431e-108
"COL9A2",1.29923465997695e-112,0.284700205540821,0.173,0.04,3.43270789512511e-108
"PNO1",1.50293824177767e-112,-0.477623920973357,0.186,0.371,3.97091312860077e-108
"LINC01235",2.48336837343748e-112,0.430613255532075,0.229,0.071,6.56130757945916e-108
"TRIM16",3.56846486640784e-112,-0.323058543528673,0.083,0.276,9.42824102353615e-108
"ERRFI1",5.40960121352123e-112,-0.598046291375042,0.315,0.54,1.42927073662444e-107
"RPS8",8.86702733702656e-112,-0.147208184699504,0.986,0.999,2.34275729271579e-107
"CALM1",9.64254891959403e-112,0.299303535803139,0.723,0.787,2.54765785004594e-107
"EEF1D",1.06827198896055e-111,0.521591047305066,0.922,0.978,2.82248142203267e-107
"MRPL11",1.12517023224873e-111,0.433529404633915,0.499,0.408,2.97281227062438e-107
"TGFB2",1.32653630874157e-111,-0.309942500693502,0.018,0.162,3.50484158132609e-107
"YIPF6",1.59444817488829e-111,-0.351768134600314,0.195,0.422,4.21269152287236e-107
"TRIM29",1.74639677021856e-111,0.346250955744608,0.265,0.092,4.61415490659446e-107
"SELENOP.1",2.16725647969479e-111,0.825392402027598,0.458,0.28,5.7261083450016e-107
"MED10",2.27990235413612e-111,-0.506412773122231,0.37,0.548,6.02373000986305e-107
"CHEK2",2.38194079079265e-111,-0.239658079625333,0.051,0.226,6.29332576335326e-107
"FRMD6",2.51548449045064e-111,-0.281688147706479,0.027,0.182,6.64616157221962e-107
"PTK6",2.69526289695787e-111,0.142384640290089,0.125,0.019,7.12115410005239e-107
"FAM217B",2.72240659727966e-111,0.249937178615257,0.245,0.078,7.1928704706726e-107
"VTA1",2.95815408340028e-111,-0.0507041866219825,0.087,0.231,7.81573890375187e-107
"ABHD17C",4.17561803566255e-111,0.142992072938698,0.167,0.039,1.1032400412024e-106
"NOXO1",4.45534478184791e-111,0.142925755059906,0.186,0.057,1.17714664481204e-106
"NDFIP1",4.6978393430886e-111,-0.408002025776306,0.43,0.643,1.24121613283744e-106
"FBXL22",4.75849439379741e-111,0.117691179731916,0.109,0.014,1.25724180378521e-106
"RNF169",4.82576216133278e-111,0.258669776579282,0.264,0.091,1.27501462064573e-106
"TUBB2A",8.88743577818211e-111,-0.332822269938252,0.099,0.302,2.3481494069535e-106
"MTRF1L",8.99948149074032e-111,-0.208850652221796,0.054,0.23,2.3777530046685e-106
"SYNGAP1",9.52414073926922e-111,0.103718849564933,0.118,0.019,2.51637322472232e-106
"SRSF5",1.36555995256725e-110,-0.379877706649717,0.518,0.733,3.60794595067793e-106
"SEPTIN9",2.24567279619675e-110,0.509545539447905,0.463,0.359,5.93329209483143e-106
"TMEM139",2.91603098119003e-110,0.277969311038961,0.227,0.068,7.70444545540219e-106
"ATP5MC2",3.08684509297929e-110,0.36209289713767,0.852,0.88,8.15575342016057e-106
"SIGIRR",3.71913531463868e-110,-0.0416435933063778,0.118,0.267,9.82632741480685e-106
"HENMT1",3.78458165901706e-110,0.195657469903764,0.15,0.029,9.99924320128898e-106
"BLOC1S2",5.17389928184192e-110,-0.326272787784329,0.2,0.431,1.36699592925545e-105
"AGPAT1",5.45834866350053e-110,0.280512777185944,0.262,0.09,1.44215030038348e-105
"UBE2D1",5.51845085740039e-110,-0.427755541032231,0.184,0.403,1.45802990103376e-105
"PPIE",6.49692606887374e-110,-0.238544755899358,0.167,0.39,1.71655283665713e-105
"SELENOH",8.3058508429107e-110,0.470057585318472,0.712,0.678,2.19448885120544e-105
"PA2G4",9.06751439401411e-110,-0.44402591283948,0.49,0.691,2.39572797804247e-105
"TPST1",9.68876269862833e-110,0.220062647885858,0.182,0.044,2.55986799260459e-105
"GLUL",1.02431579763125e-109,0.65906050277105,0.628,0.508,2.70634476892153e-105
"TUFT1",1.50290636022573e-109,-0.227048265793768,0.035,0.195,3.97082889435241e-105
"PTPRE",1.56776502627084e-109,-0.258609198843564,0.028,0.181,4.1421919759102e-105
"BCAR3",1.57643422469174e-109,-0.436804187330969,0.107,0.285,4.16509686505804e-105
